id_x,host_id,host_response_rate,host_is_superhost,host_listings_count,accommodates,bathrooms,bedrooms,beds,price,avg_rating,number_of_reviews,neighbourhood_cleansed,property_type,neighbourhood_cleansed_freq,property_type_freq
44077,193005,1.0,1,2.0,2.0,1.0,1.0,2.0,76.0,4.827142857142857,144400,Dn Laoghaire-Rathdown,Private room in bungalow,0.13506965475469412,0.006662628709872804
85156,193005,1.0,1,2.0,2.0,1.5,1.0,1.0,91.0,4.804285714285714,117649,Dn Laoghaire-Rathdown,Private room in bungalow,0.13506965475469412,0.006662628709872804
159889,766611,1.0,0,3.0,1.0,2.0,1.0,1.0,45.0,4.755714285714285,202500,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
165828,790601,0.75,0,4.0,5.0,1.0,1.0,3.0,256.0,4.691428571428572,7056,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
165829,790601,0.75,0,4.0,5.0,1.0,1.0,3.0,228.0,4.681428571428571,7225,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
237465,1245198,1.0,0,3.0,2.0,1.5,1.0,1.0,74.0,4.615714285714286,337561,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
245903,1289720,1.0,1,1.0,1.0,1.5,1.0,1.0,30.0,4.8985714285714295,2401,South Dublin,Private room in home,0.06117504542701393,0.20714718352513628
292757,1515549,1.0,1,1.0,9.0,2.5,4.0,5.0,130.0,4.921428571428571,240100,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
302554,1557844,1.0,0,8.0,5.0,1.0,1.0,2.0,197.0,4.741428571428571,6084,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
302634,1557844,1.0,0,8.0,2.0,1.0,1.0,2.0,105.0,4.691428571428572,31684,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
333950,1607393,1.0,1,2.0,2.0,1.0,1.0,1.0,98.0,4.782857142857144,88804,Dublin City,Private room in townhouse,0.6807995154451847,0.03331314354936402
374792,790601,0.75,0,4.0,4.0,1.0,1.0,3.0,239.0,4.607142857142857,1369,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
419987,1557844,1.0,0,8.0,6.0,1.0,1.0,3.0,224.0,4.762857142857143,31684,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
424596,2110301,1.0,1,4.0,3.0,1.0,1.0,1.0,148.0,4.837142857142857,442225,Dublin City,Entire loft,0.6807995154451847,0.006662628709872804
426326,766611,1.0,0,3.0,3.0,2.0,3.0,3.0,125.0,4.677142857142856,71289,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
427077,2110301,1.0,1,4.0,3.0,1.0,1.0,1.0,157.0,4.808571428571428,380689,Dublin City,Entire loft,0.6807995154451847,0.006662628709872804
427495,766611,1.0,0,3.0,2.0,2.0,17.0,1.0,110.0,4.662857142857143,35344,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
451611,1607393,1.0,1,2.0,2.0,1.0,1.0,1.0,157.0,4.718571428571429,425104,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
468082,2115318,1.0,1,3.0,5.0,0.0,2.0,3.0,135.0,4.791428571428571,171396,South Dublin,Private room in home,0.06117504542701393,0.20714718352513628
522667,2110301,1.0,1,4.0,3.0,1.0,1.0,1.0,148.0,4.825714285714286,294849,Dublin City,Entire loft,0.6807995154451847,0.006662628709872804
526767,2340296,1.0,1,3.0,3.0,1.0,0.0,2.0,180.0,4.915714285714286,490000,Dublin City,Entire loft,0.6807995154451847,0.006662628709872804
592840,2115318,1.0,1,3.0,1.0,1.5,1.0,1.0,74.0,4.921428571428572,15876,South Dublin,Private room in home,0.06117504542701393,0.20714718352513628
631270,3125619,1.0,1,2.0,1.0,1.0,1.0,2.0,111.0,4.882857142857143,4356,Dublin City,Private room in townhouse,0.6807995154451847,0.03331314354936402
654589,3244025,1.0,0,2.0,4.0,1.0,2.0,3.0,200.0,4.812857142857143,450241,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
690119,3525420,1.0,1,1.0,4.0,2.0,2.0,2.0,365.0,4.868571428571428,63001,Dn Laoghaire-Rathdown,Entire cottage,0.13506965475469412,0.01150817686250757
726011,3755932,1.0,1,1.0,3.0,1.5,1.0,2.0,146.0,4.925714285714286,51529,Fingal,Entire rental unit,0.12295578437310721,0.21562689279224712
726075,3756388,1.0,0,10.0,5.0,2.5,3.0,5.0,125.0,4.678571428571429,16,Dublin City,Entire townhouse,0.6807995154451847,0.03210175651120533
742656,3888023,0.83,0,2.0,2.0,0.5,1.0,1.0,70.0,4.677142857142857,245025,Dublin City,Private room in rental unit,0.6807995154451847,0.04118715929739552
871174,4592908,1.0,0,3.0,3.0,1.0,1.0,3.0,62.0,4.618571428571428,131769,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
998407,1245198,1.0,0,3.0,2.0,1.0,0.0,1.0,64.0,4.497142857142856,122500,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
999963,5497230,1.0,0,2.0,6.0,2.5,3.0,8.0,405.0,4.884285714285714,121,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
1086416,5971713,1.0,1,1.0,2.0,1.0,1.0,1.0,136.0,4.86,88209,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
1173029,3448346,1.0,1,1.0,4.0,2.0,2.0,2.0,320.0,4.834285714285714,255025,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
1207950,6593571,1.0,1,1.0,8.0,2.5,4.0,4.0,390.0,4.944285714285714,10404,Dn Laoghaire-Rathdown,Entire home,0.13506965475469412,0.18655360387643852
1270261,474328,0.67,0,1.0,6.0,2.0,1.0,6.0,50.0,4.8585714285714285,169,Fingal,Private room in home,0.12295578437310721,0.20714718352513628
1364560,6977448,1.0,0,2.0,2.0,1.0,1.0,2.0,100.0,4.759999999999999,29241,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
1407832,5818278,1.0,0,1.0,6.0,3.0,4.0,4.0,444.0,4.909999999999999,4225,Dn Laoghaire-Rathdown,Entire home,0.13506965475469412,0.18655360387643852
1466234,5940448,1.0,1,1.0,1.0,1.5,1.0,1.0,56.0,4.771428571428571,52441,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
1559929,3745350,1.0,0,2.0,1.0,1.0,1.0,1.0,85.0,4.938571428571429,4356,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
1596451,6219661,1.0,0,1.0,8.0,3.0,3.0,4.0,1000.0,4.448571428571428,324,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
1600779,3745350,1.0,0,2.0,2.0,1.0,1.0,1.0,110.0,4.897142857142858,6241,Dublin City,Private room in townhouse,0.6807995154451847,0.03331314354936402
1906221,9084049,1.0,1,3.0,2.0,1.0,1.0,1.0,138.0,4.8742857142857146,362404,Dublin City,Private room in condo,0.6807995154451847,0.04784978800726832
1943366,1557844,1.0,0,8.0,6.0,1.0,1.0,2.0,224.0,4.797142857142857,27225,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
1963074,10124896,1.0,0,1.0,2.0,1.0,1.0,1.0,125.0,4.9399999999999995,611524,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
2026810,6782586,0.92,0,2.0,1.0,1.5,3.0,1.0,58.0,4.791428571428571,147456,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
2164444,11013512,0.9,0,3.0,2.0,1.0,1.0,1.0,91.0,4.6414285714285715,321489,Dublin City,Private room in townhouse,0.6807995154451847,0.03331314354936402
2283713,3888023,0.83,0,2.0,2.0,0.5,1.0,1.0,79.0,4.728571428571428,136900,Dublin City,Private room in rental unit,0.6807995154451847,0.04118715929739552
2345315,11976922,1.0,0,3.0,2.0,1.0,1.0,1.0,60.0,4.74,51984,Dublin City,Private room in townhouse,0.6807995154451847,0.03331314354936402
2394893,12173057,1.0,1,3.0,2.0,1.5,1.0,1.0,104.0,4.9314285714285715,72361,Dublin City,Private room in bed and breakfast,0.6807995154451847,0.014536644457904301
2415104,5580678,1.0,1,6.0,6.0,1.5,2.0,4.0,360.0,4.872857142857144,82369,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
2427857,12173057,1.0,1,3.0,2.0,1.0,1.0,0.0,102.0,4.935714285714285,74529,Dublin City,Private room in townhouse,0.6807995154451847,0.03331314354936402
2471794,12640966,0.9,1,1.0,2.0,1.5,1.0,2.0,110.0,4.892857142857143,27556,Dn Laoghaire-Rathdown,Private room in townhouse,0.13506965475469412,0.03331314354936402
2574203,13054321,1.0,1,1.0,1.0,1.0,1.0,1.0,58.0,4.894285714285714,322624,Dublin City,Private room in townhouse,0.6807995154451847,0.03331314354936402
2657582,8331433,0.83,0,1.0,2.0,1.0,1.0,1.0,65.0,4.892857142857143,400,Dublin City,Private room in condo,0.6807995154451847,0.04784978800726832
2686112,13748399,0.8,0,1.0,2.0,2.0,1.0,1.0,110.0,4.680000000000001,8464,Dublin City,Private room in rental unit,0.6807995154451847,0.04118715929739552
2691951,11437558,1.0,0,1.0,4.0,1.0,2.0,2.0,320.0,4.937142857142857,12996,Dn Laoghaire-Rathdown,Entire guest suite,0.13506965475469412,0.01756511205330103
2734096,11211199,0.8,0,5.0,1.0,1.0,1.0,1.0,200.0,4.87,529,Dublin City,Private room in rental unit,0.6807995154451847,0.04118715929739552
2770813,14169546,0.97,0,4.0,3.0,1.5,1.0,2.0,120.0,4.765714285714284,50625,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
2791857,12173057,1.0,1,3.0,2.0,1.5,1.0,1.0,119.0,4.934285714285715,72361,Dublin City,Private room in townhouse,0.6807995154451847,0.03331314354936402
2850155,14413720,1.0,0,1.0,6.0,2.5,3.0,4.0,315.0,4.971428571428571,100,Dn Laoghaire-Rathdown,Entire home,0.13506965475469412,0.18655360387643852
